$PMTK010,002*2D
$GNGGA,235943.094,,,,,0,0,,,M,,M,,*51
$GPGSA,A,1,,,,,,,,,,,,,,,*1E
$GLGSA,A,1,,,,,,,,,,,,,,,*02
$GNRMC,191637.000,A,4701.9570,N,00815.2864,E,0.96,61.33,121022,,,A*4C
$GNRMC,191637.500,A,4701.9571,N,00815.2865,E,1.16,60.58,121022,,,A*4C
$GNRMC,191638.000,A,4701.9571,N,00815.2866,E,1.32,63.60,121022,,,A*4B
$GNRMC,191638.500,A,4701.9571,N,00815.2867,E,1.38,72.88,121022,,,A*43
$GNRMC,191639.000,A,4701.9570,N,00815.2867,E,1.29,74.81,121022,,,A*49
$GNRMC,191639.500,A,4701.9570,N,00815.2865,E,1.02,67.98,121022,,,A*4D
$GNRMC,191640.000,A,4701.9570,N,00815.2863,E,0.74,48.74,121022,,,A*4F
$GNRMC,191640.500,A,4701.9569,N,00815.2861,E,0.61,47.70,121022,,,A*4F
$GNRMC,191641.000,A,4701.9569,N,00815.2860,E,0.64,41.52,121022,,,A*49
$GNRMC,191641.500,A,4701.9571,N,00815.2859,E,0.70,11.27,121022,,,A*4D
$GNRMC,191642.000,A,4701.9572,N,00815.2859,E,0.77,4.33,121022,,,A*7E
$GNRMC,191642.500,A,4701.9573,N,00815.2860,E,0.75,24.76,121022,,,A*41
$GNRMC,191643.000,A,4701.9575,N,00815.2861,E,0.81,14.96,121022,,,A*44
$GNRMC,191643.500,A,4701.9576,N,00815.2860,E,0.86,11.08,121022,,,A*46
$GNRMC,191644.000,A,4701.9575,N,00815.2858,E,0.87,23.27,121022,,,A*41
$GNRMC,191644.500,A,4701.9575,N,00815.2856,E,0.68,18.37,121022,,,A*42
$GNRMC,191645.000,A,4701.9573,N,00815.2853,E,0.29,18.37,121022,,,A*40
$GNRMC,191645.500,A,4701.9573,N,00815.2852,E,0.32,18.37,121022,,,A*4E
$GNRMC,191646.000,A,4701.9573,N,00815.2852,E,0.50,18.37,121022,,,A*4C
$GNRMC,191646.500,A,4701.9573,N,00815.2850,E,0.50,18.37,121022,,,A*4B
$GNRMC,191647.000,A,4701.9572,N,00815.2847,E,0.38,18.37,121022,,,A*46
$GNRMC,191647.500,A,4701.9570,N,00815.2845,E,0.34,18.37,121022,,,A*4F
$GNRMC,191648.000,A,4701.9568,N,00815.2842,E,0.29,18.37,121022,,,A*47
$GNRMC,191648.500,A,4701.9568,N,00815.2842,E,0.29,18.37,121022,,,A*42
$GNRMC,191649.000,A,4701.9566,N,00815.2840,E,0.43,18.37,121022,,,A*46
$GNRMC,191649.500,A,4701.9565,N,00815.2838,E,0.30,18.37,121022,,,A*4B
$GNRMC,191650.000,A,4701.9566,N,00815.2835,E,0.36,18.37,121022,,,A*4E
$GNRMC,191650.500,A,4701.9565,N,00815.2835,E,0.34,18.37,121022,,,A*4A
$GNRMC,191651.000,A,4701.9564,N,00815.2835,E,0.36,18.37,121022,,,A*4D
$GNRMC,191651.500,A,4701.9562,N,00815.2833,E,0.31,18.37,121022,,,A*4F
$GNRMC,191652.000,A,4701.9563,N,00815.2833,E,0.24,18.37,121022,,,A*4C
$GNRMC,191652.500,A,4701.9562,N,00815.2831,E,0.24,18.37,121022,,,A*4A
$GNRMC,191653.000,A,4701.9564,N,00815.2831,E,0.43,18.37,121022,,,A*49
$GNRMC,191653.500,A,4701.9564,N,00815.2831,E,0.41,18.37,121022,,,A*4E
$GNRMC,191654.000,A,4701.9564,N,00815.2830,E,0.40,18.37,121022,,,A*4C
$GNRMC,191654.500,A,4701.9565,N,00815.2827,E,0.43,18.37,121022,,,A*4D
$GNRMC,191655.000,A,4701.9565,N,00815.2825,E,0.48,18.37,121022,,,A*40
$GNRMC,191655.500,A,4701.9565,N,00815.2823,E,0.45,18.37,121022,,,A*4E
$GNRMC,191656.000,A,4701.9564,N,00815.2821,E,0.43,18.37,121022,,,A*4D
$GNRMC,191656.500,A,4701.9565,N,00815.2820,E,0.39,18.37,121022,,,A*45
$GNRMC,191657.000,A,4701.9565,N,00815.2819,E,0.35,18.37,121022,,,A*47
$GNRMC,191657.500,A,4701.9567,N,00815.2821,E,0.36,18.37,121022,,,A*48
$GNRMC,191658.000,A,4701.9568,N,00815.2822,E,0.37,18.37,121022,,,A*4F
$GNRMC,191658.500,A,4701.9568,N,00815.2822,E,0.41,18.37,121022,,,A*4B
$GNRMC,191659.000,A,4701.9569,N,00815.2821,E,0.45,18.37,121022,,,A*49
$GNRMC,191659.500,A,4701.9570,N,00815.2820,E,0.72,355.11,121022,,,A*7F
$GNRMC,191700.000,A,4701.9572,N,00815.2820,E,0.82,1.40,121022,,,A*7C
$GNRMC,191700.500,A,4701.9573,N,00815.2821,E,0.90,31.84,121022,,,A*41
$GNRMC,191701.000,A,4701.9573,N,00815.2822,E,0.99,53.87,121022,,,A*48
$GNRMC,191701.500,A,4701.9574,N,00815.2823,E,1.06,57.51,121022,,,A*43
$GNRMC,191702.000,A,4701.9574,N,00815.2822,E,0.99,44.35,121022,,,A*43
$GNRMC,191702.500,A,4701.9574,N,00815.2821,E,0.94,45.68,121022,,,A*41
$GNRMC,191703.000,A,4701.9574,N,00815.2819,E,0.79,49.78,121022,,,A*40
$GNRMC,191703.500,A,4701.9573,N,00815.2819,E,0.83,71.75,121022,,,A*41
$GNRMC,191704.000,A,4701.9572,N,00815.2817,E,0.68,55.32,121022,,,A*4C
$GNRMC,191704.500,A,4701.9573,N,00815.2815,E,0.55,55.32,121022,,,A*44
$GNRMC,191705.000,A,4701.9572,N,00815.2816,E,0.81,73.99,121022,,,A*4E
$GNRMC,191705.500,A,4701.9572,N,00815.2816,E,0.56,73.99,121022,,,A*41
$GNRMC,191706.000,A,4701.9572,N,00815.2815,E,0.28,73.99,121022,,,A*4D
$GNRMC,191706.500,A,4701.9571,N,00815.2814,E,0.22,73.99,121022,,,A*40
$GNRMC,191707.000,A,4701.9570,N,00815.2814,E,0.24,73.99,121022,,,A*43
$GNRMC,191707.500,A,4701.9569,N,00815.2815,E,0.46,73.99,121022,,,A*4B
$GNRMC,191708.000,A,4701.9567,N,00815.2815,E,0.44,73.99,121022,,,A*4D
$GNRMC,191708.500,A,4701.9564,N,00815.2812,E,0.18,73.99,121022,,,A*45
$GNRMC,191709.000,A,4701.9562,N,00815.2812,E,0.21,73.99,121022,,,A*4D
$GNRMC,191709.500,A,4701.9561,N,00815.2813,E,0.29,73.99,121022,,,A*42
